date,value
"['2017-08-31T00:00:00', 267]"
"['2017-09-01T00:00:00', 277]"
"['2017-09-02T00:00:00', 272]"
"['2017-09-03T00:00:00', 285]"
"['2017-09-04T00:00:00', 239]"
"['2017-09-05T00:00:00', 239]"
"['2017-09-06T00:00:00', 239]"
"['2017-09-07T00:00:00', 233]"
"['2017-09-08T00:00:00', 224]"
"['2017-09-09T00:00:00', 224]"
"['2017-09-10T00:00:00', 232]"
"['2017-09-11T00:00:00', 246]"
"['2017-09-12T00:00:00', 235]"
"['2017-09-13T00:00:00', 216]"
"['2017-09-14T00:00:00', 208]"
"['2017-09-15T00:00:00', 207]"
"['2017-09-16T00:00:00', 209]"
"['2017-09-17T00:00:00', 207]"
"['2017-09-18T00:00:00', 202]"
"['2017-09-19T00:00:00', 211]"
"['2017-09-20T00:00:00', 206]"
"['2017-09-21T00:00:00', 207]"
"['2017-09-22T00:00:00', 186]"
"['2017-09-23T00:00:00', 186]"
"['2017-09-24T00:00:00', 204]"
"['2017-09-25T00:00:00', 226]"
"['2017-09-26T00:00:00', 217]"
"['2017-09-27T00:00:00', 214]"
"['2017-09-28T00:00:00', 219]"
"['2017-09-29T00:00:00', 216]"
"['2017-09-30T00:00:00', 209]"
"['2017-10-01T00:00:00', 202]"
"['2017-10-02T00:00:00', 199]"
"['2017-10-03T00:00:00', 199]"
"['2017-10-04T00:00:00', 194]"
"['2017-10-05T00:00:00', 199]"
"['2017-10-06T00:00:00', 219]"
"['2017-10-07T00:00:00', 231]"
"['2017-10-08T00:00:00', 212]"
"['2017-10-09T00:00:00', 207]"
"['2017-10-10T00:00:00', 212]"
"['2017-10-11T00:00:00', 194]"
"['2017-10-12T00:00:00', 197]"
"['2017-10-13T00:00:00', 187]"
"['2017-10-14T00:00:00', 197]"
"['2017-10-15T00:00:00', 232]"
"['2017-10-16T00:00:00', 249]"
"['2017-10-17T00:00:00', 244]"
"['2017-10-18T00:00:00', 231]"
"['2017-10-19T00:00:00', 215]"
"['2017-10-20T00:00:00', 198]"
"['2017-10-21T00:00:00', 191]"
"['2017-10-22T00:00:00', 226]"
"['2017-10-23T00:00:00', 262]"
"['2017-10-24T00:00:00', 291]"
"['2017-10-25T00:00:00', 301]"
"['2017-10-26T00:00:00', 251]"
"['2017-10-27T00:00:00', 223]"
"['2017-10-28T00:00:00', 199]"
"['2017-10-29T00:00:00', 182]"
"['2017-10-30T00:00:00', 186]"
"['2017-10-31T00:00:00', 186]"
"['2017-11-01T00:00:00', 188]"
"['2017-11-02T00:00:00', 183]"
"['2017-11-03T00:00:00', 178]"
"['2017-11-04T00:00:00', 181]"
"['2017-11-05T00:00:00', 186]"
"['2017-11-06T00:00:00', 177]"
"['2017-11-07T00:00:00', 188]"
"['2017-11-08T00:00:00', 184]"
"['2017-11-09T00:00:00', 191]"
"['2017-11-10T00:00:00', 181]"
"['2017-11-11T00:00:00', 165]"
"['2017-11-12T00:00:00', 167]"
"['2017-11-13T00:00:00', 166]"
"['2017-11-14T00:00:00', 169]"
"['2017-11-15T00:00:00', 182]"
"['2017-11-16T00:00:00', 194]"
"['2017-11-17T00:00:00', 202]"
"['2017-11-18T00:00:00', 182]"
"['2017-11-19T00:00:00', 173]"
"['2017-11-20T00:00:00', 159]"
"['2017-11-21T00:00:00', 192]"
"['2017-11-22T00:00:00', 229]"
"['2017-11-23T00:00:00', 243]"
"['2017-11-24T00:00:00', 206]"
"['2017-11-25T00:00:00', 187]"
"['2017-11-26T00:00:00', 169]"
"['2017-11-27T00:00:00', 166]"
"['2017-11-28T00:00:00', 155]"
"['2017-11-29T00:00:00', 163]"
